project,merges,chunks,accuracy,zeror,f1,precision,recall,NI,strategy
CCI-MIT/XCoLab,333,9323,0.5320400000000001,0.5859000000000001,0.4995200000000001,0.61156,0.5320400000000001,-0.38082000000000005,S3
CloudStack-extras/CloudStack-archive,128,1223,0.71334,0.37350000000000005,0.7121599999999999,0.7565199999999999,0.71334,0.5417799999999999,S3
TeamDev-Archive/OpenFaces,176,3914,0.76328,0.84742,0.7366999999999999,0.7329999999999999,0.76328,-0.71562,S3
TelluIoT/ThingML,52,1130,0.42113999999999996,0.76802,0.4160399999999999,0.57006,0.42113999999999996,-2.02014,S3
Unidata/thredds,130,1391,0.57024,0.51244,0.51528,0.5311999999999999,0.57024,0.10462,S3
alkacon/opencms-core,43,1726,0.74286,0.82338,0.7249999999999999,0.8271200000000001,0.74286,-0.6274599999999999,S3
aosp-mirror/platform_frameworks_base,4500,84514,0.91278,0.8356600000000001,0.9108999999999998,0.9154199999999999,0.91278,0.46172,S3
apache/accumulo,1788,14848,0.71106,0.6502999999999999,0.66964,0.69856,0.71106,0.13506,S3
apache/lucene-solr,285,2326,0.49374,0.36323999999999995,0.48390000000000005,0.51418,0.49374,0.20326,S3
eucalyptus/eucalyptus,577,3153,0.5078799999999999,0.5130199999999999,0.44792,0.46368,0.5078799999999999,-0.04284000000000003,S3
getrailo/railo,156,1001,0.48078000000000004,0.5782,0.4688800000000001,0.52278,0.48078000000000004,-0.21814,S3
hibernate/hibernate-orm,145,2707,0.6383599999999999,0.54226,0.6018,0.6288400000000001,0.6383599999999999,0.16736,S3
hyphanet/fred,260,1425,0.51712,0.50276,0.4739,0.4867799999999999,0.51712,0.0186,S3
jgralab/jgralab,99,2537,0.78166,0.65722,0.7701800000000001,0.8421200000000001,0.78166,0.22834000000000004,S3
wro4j/wro4j,351,2215,0.6405400000000001,0.46774000000000004,0.6244,0.62488,0.6405400000000001,0.32486,S3
zkoss/zk,675,6694,0.8135,0.72406,0.77922,0.7783399999999999,0.8135,0.3172,S3
