project,chunks,merges,accuracy,zeror,f1,precision,recall,NI,time_s
CCI-MIT/XCoLab,9323,333,0.2455,0.5859,0.3031,0.5941,0.2455,-0.8665,59.8
CloudStack-extras/CloudStack-archive,1223,128,0.5938,0.3735,0.5926,0.6689,0.5938,0.3545,8.5
TeamDev-Archive/OpenFaces,3914,176,0.6078,0.8474,0.6155,0.7183,0.6078,-1.7388,44.3
TelluIoT/ThingML,1130,52,0.2772,0.768,0.255,0.4553,0.2772,-3.0875,10.0
Unidata/thredds,1391,130,0.3822,0.5124,0.3981,0.4592,0.3822,-0.2769,9.6
alkacon/opencms-core,1726,43,0.4741,0.8234,0.5236,0.7633,0.4741,-2.1222,13.6
aosp-mirror/platform_frameworks_base,84514,4500,0.669,0.8357,0.7356,0.8699,0.669,-1.0267,496.5
apache/accumulo,14848,1788,0.5007,0.6503,0.5646,0.7164,0.5007,-0.4382,142.8
apache/lucene-solr,2326,285,0.3867,0.3632,0.4122,0.483,0.3867,0.0378,15.5
eucalyptus/eucalyptus,3153,577,0.3772,0.513,0.4009,0.448,0.3772,-0.3134,22.3
getrailo/railo,1001,156,0.4722,0.5782,0.4739,0.4966,0.4722,-0.2778,5.2
hibernate/hibernate-orm,2707,145,0.5229,0.5423,0.5413,0.5833,0.5229,-0.095,30.1
hyphanet/fred,1425,260,0.3912,0.5028,0.3977,0.452,0.3912,-0.2255,5.2
jgralab/jgralab,2537,99,0.5265,0.6572,0.5375,0.693,0.5265,-0.4845,21.1
wro4j/wro4j,2215,351,0.474,0.4677,0.4857,0.5207,0.474,0.0119,5.5
zkoss/zk,6694,675,0.5523,0.7241,0.5816,0.6513,0.5523,-0.6304,36.8
